       sl1_layer6_s1  |          region1_s1  |Region 0, Super Layer 1, layer 6, Sector 1  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 6 wire manual 1 
       sl1_layer6_s2  |          region1_s2  |Region 0, Super Layer 1, layer 6, Sector 2  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 6 wire manual 1 
       sl1_layer6_s3  |          region1_s3  |Region 0, Super Layer 1, layer 6, Sector 3  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 6 wire manual 1 
       sl1_layer6_s4  |          region1_s4  |Region 0, Super Layer 1, layer 6, Sector 4  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 6 wire manual 1 
       sl1_layer6_s5  |          region1_s5  |Region 0, Super Layer 1, layer 6, Sector 5  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 6 wire manual 1 
       sl1_layer6_s6  |          region1_s6  |Region 0, Super Layer 1, layer 6, Sector 6  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 6 wire manual 1 
       sl2_layer1_s1  |          region1_s1  |Region 0, Super Layer 2, layer 1, Sector 1  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 2 layer manual 1 wire manual 1 
       sl2_layer1_s2  |          region1_s2  |Region 0, Super Layer 2, layer 1, Sector 2  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 2 layer manual 1 wire manual 1 
       sl2_layer1_s3  |          region1_s3  |Region 0, Super Layer 2, layer 1, Sector 3  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 2 layer manual 1 wire manual 1 
       sl2_layer1_s4  |          region1_s4  |Region 0, Super Layer 2, layer 1, Sector 4  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 2 layer manual 1 wire manual 1 
       sl2_layer1_s5  |          region1_s5  |Region 0, Super Layer 2, layer 1, Sector 5  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 2 layer manual 1 wire manual 1 
       sl2_layer1_s6  |          region1_s6  |Region 0, Super Layer 2, layer 1, Sector 6  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 2 layer manual 1 wire manual 1 
       sl2_layer2_s1  |          region1_s1  |Region 0, Super Layer 2, layer 2, Sector 1  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 2 layer manual 2 wire manual 1 
       sl2_layer2_s2  |          region1_s2  |Region 0, Super Layer 2, layer 2, Sector 2  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 2 layer manual 2 wire manual 1 
       sl2_layer2_s3  |          region1_s3  |Region 0, Super Layer 2, layer 2, Sector 3  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 2 layer manual 2 wire manual 1 
       sl2_layer2_s4  |          region1_s4  |Region 0, Super Layer 2, layer 2, Sector 4  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 2 layer manual 2 wire manual 1 
       sl2_layer2_s5  |          region1_s5  |Region 0, Super Layer 2, layer 2, Sector 5  |                                       *cm *cm *cm  |                        0*deg 0*deg *deg  |99aaff2   |              G4Trap  |   -0.01*cm -25*deg 90*deg *cm *cm *cm *deg *cm *cm *cm *deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 2 layer manual 2 wire manual 1 
