       e_det_strip_7  |                root  |Compton Electron Detector Strip 7  |                    -0.0408698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                             id manual 7 
       e_det_strip_8  |                root  |Compton Electron Detector Strip 8  |                    -0.0406198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                             id manual 8 
       e_det_strip_9  |                root  |Compton Electron Detector Strip 9  |                    -0.0403698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                             id manual 9 
      e_det_strip_10  |                root  |Compton Electron Detector Strip 10  |                    -0.0401198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 10 
      e_det_strip_11  |                root  |Compton Electron Detector Strip 11  |                    -0.0398698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 11 
      e_det_strip_12  |                root  |Compton Electron Detector Strip 12  |                    -0.0396198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 12 
      e_det_strip_13  |                root  |Compton Electron Detector Strip 13  |                    -0.0393698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 13 
      e_det_strip_14  |                root  |Compton Electron Detector Strip 14  |                    -0.0391198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 14 
      e_det_strip_15  |                root  |Compton Electron Detector Strip 15  |                    -0.0388698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 15 
      e_det_strip_16  |                root  |Compton Electron Detector Strip 16  |                    -0.0386198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 16 
      e_det_strip_17  |                root  |Compton Electron Detector Strip 17  |                    -0.0383698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 17 
      e_det_strip_18  |                root  |Compton Electron Detector Strip 18  |                    -0.0381198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 18 
      e_det_strip_19  |                root  |Compton Electron Detector Strip 19  |                    -0.0378698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 19 
      e_det_strip_20  |                root  |Compton Electron Detector Strip 20  |                    -0.0376198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 20 
      e_det_strip_21  |                root  |Compton Electron Detector Strip 21  |                    -0.0373698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 21 
      e_det_strip_22  |                root  |Compton Electron Detector Strip 22  |                    -0.0371198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 22 
      e_det_strip_23  |                root  |Compton Electron Detector Strip 23  |                    -0.0368698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 23 
      e_det_strip_24  |                root  |Compton Electron Detector Strip 24  |                    -0.0366198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 24 
      e_det_strip_25  |                root  |Compton Electron Detector Strip 25  |                    -0.0363698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 25 
      e_det_strip_26  |                root  |Compton Electron Detector Strip 26  |                    -0.0361198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 26 
      e_det_strip_27  |                root  |Compton Electron Detector Strip 27  |                    -0.0358698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 27 
      e_det_strip_28  |                root  |Compton Electron Detector Strip 28  |                    -0.0356198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 28 
      e_det_strip_29  |                root  |Compton Electron Detector Strip 29  |                    -0.0353698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 29 
      e_det_strip_30  |                root  |Compton Electron Detector Strip 30  |                    -0.0351198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 30 
      e_det_strip_31  |                root  |Compton Electron Detector Strip 31  |                    -0.0348698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 31 
      e_det_strip_32  |                root  |Compton Electron Detector Strip 32  |                    -0.0346198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 32 
      e_det_strip_33  |                root  |Compton Electron Detector Strip 33  |                    -0.0343698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 33 
      e_det_strip_34  |                root  |Compton Electron Detector Strip 34  |                    -0.0341198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 34 
      e_det_strip_35  |                root  |Compton Electron Detector Strip 35  |                    -0.0338698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 35 
      e_det_strip_36  |                root  |Compton Electron Detector Strip 36  |                    -0.0336198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 36 
