rg3_s2_c1_window_Al | rg3_s2_c1 | 0*cm 0*cm -0.53485*cm | 0 0 0 |      Box | 23.2435505*cm 18.5357294*cm 0.00025*cm  | 
rg3_s2_c1_window_gas | rg3_s2_c1 | 0*cm 0*cm -0.3846*cm | 0 0 0 |      Box | 23.2435505*cm 18.5357294*cm 0.15*cm  | 
rg3_s2_c1_cathode_kapton | rg3_s2_c1 | 0*cm 0*cm -0.23335*cm | 0 0 0 |      Box | 23.2435505*cm 18.5357294*cm 0.00125*cm  | 
rg3_s2_c1_cathode_Al | rg3_s2_c1 | 0*cm 0*cm -0.23185*cm | 0 0 0 |      Box | 23.2435505*cm 18.5357294*cm 0.00025*cm  | 
rg3_s2_c1_cathode_gas | rg3_s2_c1 | 0*cm 0*cm -0.0316*cm | 0 0 0 |      Box | 23.2435505*cm 18.5357294*cm 0.2*cm  | 
rg3_s2_c1_muRwell_Cu | rg3_s2_c1 | 0*cm 0*cm 0.16865*cm | 0 0 0 |      Box | 23.2435505*cm 18.5357294*cm 0.00025*cm  | 
rg3_s2_c1_muRwell_kapton | rg3_s2_c1 | 0*cm 0*cm 0.1714*cm | 0 0 0 |      Box | 23.2435505*cm 18.5357294*cm 0.0025*cm  | 
rg3_s2_c1_muRwell_dlc | rg3_s2_c1 | 0*cm 0*cm 0.17415*cm | 0 0 0 |      Box | 23.2435505*cm 18.5357294*cm 0.00025*cm  | 
rg3_s2_c1_capa_sharing_layer1_glue | rg3_s2_c1 | 0*cm 0*cm 0.17465*cm | 0 0 0 |      Box | 23.2435505*cm 18.5357294*cm 0.00025*cm  | 
rg3_s2_c1_capa_sharing_layer1_Cr | rg3_s2_c1 | 0*cm 0*cm 0.1774*cm | 0 0 0 |      Box | 23.2435505*cm 18.5357294*cm 0.0025*cm  | 
rg3_s2_c1_capa_sharing_layer1_kapton | rg3_s2_c1 | 0*cm 0*cm 0.18015*cm | 0 0 0 |      Box | 23.2435505*cm 18.5357294*cm 0.00025*cm  | 
rg3_s2_c1_capa_sharing_layer2_glue | rg3_s2_c1 | 0*cm 0*cm 0.18065*cm | 0 0 0 |      Box | 23.2435505*cm 18.5357294*cm 0.00025*cm  | 
rg3_s2_c1_capa_sharing_layer2_Cr | rg3_s2_c1 | 0*cm 0*cm 0.1834*cm | 0 0 0 |      Box | 23.2435505*cm 18.5357294*cm 0.0025*cm  | 
rg3_s2_c1_capa_sharing_layer2_kapton | rg3_s2_c1 | 0*cm 0*cm 0.18615*cm | 0 0 0 |      Box | 23.2435505*cm 18.5357294*cm 0.00025*cm  | 
