rg1_s2_c1_capa_sharing_layer1_Cr  |           rg1_s2_c1  |Region 1,Sector 2, Chamber 1, capa_sharing_layer1 Cr  |                               0*cm 0*cm 0.1774*cm  |                                   0 0 0  | 1433ce   |                 Box  |                         9.7944521*cm 7.8106533*cm 0.0025*cm  |                  Cr  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg1_s2_c1_capa_sharing_layer1_kapton  |           rg1_s2_c1  |Region 1,Sector 2, Chamber 1, capa_sharing_layer1 kapton  |                              0*cm 0*cm 0.18015*cm  |                                   0 0 0  | bf0000   |                 Box  |                        9.7944521*cm 7.8106533*cm 0.00025*cm  |              kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg1_s2_c1_capa_sharing_layer2_glue  |           rg1_s2_c1  |Region 1,Sector 2, Chamber 1, capa_sharing_layer2 glue  |                              0*cm 0*cm 0.18065*cm  |                                   0 0 0  | 14ce3d   |                 Box  |                        9.7944521*cm 7.8106533*cm 0.00025*cm  |                glue  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg1_s2_c1_capa_sharing_layer2_Cr  |           rg1_s2_c1  |Region 1,Sector 2, Chamber 1, capa_sharing_layer2 Cr  |                               0*cm 0*cm 0.1834*cm  |                                   0 0 0  | 1433ce   |                 Box  |                         9.7944521*cm 7.8106533*cm 0.0025*cm  |                  Cr  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg1_s2_c1_capa_sharing_layer2_kapton  |           rg1_s2_c1  |Region 1,Sector 2, Chamber 1, capa_sharing_layer2 kapton  |                              0*cm 0*cm 0.18615*cm  |                                   0 0 0  | bf0000   |                 Box  |                        9.7944521*cm 7.8106533*cm 0.00025*cm  |              kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg1_s2_c1_readout1_glue  |           rg1_s2_c1  |Region 1,Sector 2, Chamber 1, readout1 glue  |                               0*cm 0*cm 0.1889*cm  |                                   0 0 0  | 14ce3d   |                 Box  |                         9.7944521*cm 7.8106533*cm 0.0025*cm  |                glue  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg1_s2_c1_readout1_Cu  |           rg1_s2_c1  |Region 1,Sector 2, Chamber 1, readout1 Cu  |                              0*cm 0*cm 0.19165*cm  |                                   0 0 0  | fd7f00   |                 Box  |                        9.7944521*cm 7.8106533*cm 0.00025*cm  |                  Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg1_s2_c1_readout1_kapton  |           rg1_s2_c1  |Region 1,Sector 2, Chamber 1, readout1 kapton  |                               0*cm 0*cm 0.1944*cm  |                                   0 0 0  | bf0000   |                 Box  |                         9.7944521*cm 7.8106533*cm 0.0025*cm  |              kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg1_s2_c1_readout2_glue  |           rg1_s2_c1  |Region 1,Sector 2, Chamber 1, readout2 glue  |                               0*cm 0*cm 0.1994*cm  |                                   0 0 0  | 14ce3d   |                 Box  |                         9.7944521*cm 7.8106533*cm 0.0025*cm  |                glue  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg1_s2_c1_readout2_Cu  |           rg1_s2_c1  |Region 1,Sector 2, Chamber 1, readout2 Cu  |                              0*cm 0*cm 0.20215*cm  |                                   0 0 0  | fd7f00   |                 Box  |                        9.7944521*cm 7.8106533*cm 0.00025*cm  |                  Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg1_s2_c1_readout2_kapton  |           rg1_s2_c1  |Region 1,Sector 2, Chamber 1, readout2 kapton  |                               0*cm 0*cm 0.2049*cm  |                                   0 0 0  | bf0000   |                 Box  |                         9.7944521*cm 7.8106533*cm 0.0025*cm  |              kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg1_s2_c1_readout3_glue  |           rg1_s2_c1  |Region 1,Sector 2, Chamber 1, readout3 glue  |                               0*cm 0*cm 0.2099*cm  |                                   0 0 0  | 14ce3d   |                 Box  |                         9.7944521*cm 7.8106533*cm 0.0025*cm  |                glue  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg1_s2_c1_support_skin1_g10  |           rg1_s2_c1  |Region 1,Sector 2, Chamber 1, support_skin1 g10  |                              0*cm 0*cm 0.21875*cm  |                                   0 0 0  | aa44d8   |                 Box  |                        9.7944521*cm 7.8106533*cm 0.00635*cm  |                 g10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg1_s2_c1_support_skin2_g10  |           rg1_s2_c1  |Region 1,Sector 2, Chamber 1, support_skin2 g10  |                              0*cm 0*cm 0.53135*cm  |                                   0 0 0  | aa44d8   |                 Box  |                        9.7944521*cm 7.8106533*cm 0.00625*cm  |                 g10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg1_s2_c1_support_honeycomb_nomex  |           rg1_s2_c1  |Region 1,Sector 2, Chamber 1, support_honeycomb nomex  |                               0*cm 0*cm 0.3751*cm  |                                   0 0 0  | ecdb3a   |                 Box  |                           9.7944521*cm 7.8106533*cm 0.15*cm  |               nomex  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  region_recoil_2_s1  |                root  |CLAS12 recoil, Sector 1 Region 2  |                 -43.1316009*cm 0*cm 34.9272817*cm  |       ordered: zxy 0*deg 0*deg -321*deg  | aa0000   |                 Box  |                       17.2266296*cm 13.9400375*cm 1.5376*cm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
