sector1_superlayer2_layer8_paddle2 | root|   0.0000*mm   0.0000*mm  70.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      79.988943*mm       4.297820*mm      99.988943*mm       5.345976*mm      98.915436*mm      15.559716*mm      79.134560*mm      12.426734*mm      79.988943*mm       4.297820*mm      99.988943*mm       5.345976*mm      98.915436*mm      15.559716*mm      79.134560*mm      12.426734*mm  | 1 2 8 2
sector1_superlayer2_layer8_paddle3 | root|   0.0000*mm   0.0000*mm  70.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      79.101511*mm      12.635398*mm      98.882387*mm      15.768381*mm      96.747134*mm      25.813957*mm      77.402105*mm      20.630473*mm      79.101511*mm      12.635398*mm      98.882387*mm      15.768381*mm      96.747134*mm      25.813957*mm      77.402105*mm      20.630473*mm  | 1 2 8 3
sector1_superlayer2_layer8_paddle4 | root|   0.0000*mm   0.0000*mm  70.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      77.347426*mm      20.834539*mm      96.692454*mm      26.018024*mm      93.518849*mm      35.785375*mm      74.821617*mm      28.608180*mm      77.347426*mm      20.834539*mm      96.692454*mm      26.018024*mm      93.518849*mm      35.785375*mm      74.821617*mm      28.608180*mm  | 1 2 8 4
sector1_superlayer2_layer9_paddle1 | root|   0.0000*mm   0.0000*mm  98.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      80.000000*mm      -4.086845*mm     100.000000*mm      -5.135000*mm     100.000000*mm       5.135000*mm      80.000000*mm       4.086845*mm      80.000000*mm      -4.086845*mm     100.000000*mm      -5.135000*mm     100.000000*mm       5.135000*mm      80.000000*mm       4.086845*mm  | 1 2 9 1
sector1_superlayer2_layer9_paddle2 | root|   0.0000*mm   0.0000*mm  98.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      79.988943*mm       4.297820*mm      99.988943*mm       5.345976*mm      98.915436*mm      15.559716*mm      79.134560*mm      12.426734*mm      79.988943*mm       4.297820*mm      99.988943*mm       5.345976*mm      98.915436*mm      15.559716*mm      79.134560*mm      12.426734*mm  | 1 2 9 2
sector1_superlayer2_layer9_paddle3 | root|   0.0000*mm   0.0000*mm  98.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      79.101511*mm      12.635398*mm      98.882387*mm      15.768381*mm      96.747134*mm      25.813957*mm      77.402105*mm      20.630473*mm      79.101511*mm      12.635398*mm      98.882387*mm      15.768381*mm      96.747134*mm      25.813957*mm      77.402105*mm      20.630473*mm  | 1 2 9 3
sector1_superlayer2_layer9_paddle4 | root|   0.0000*mm   0.0000*mm  98.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      77.347426*mm      20.834539*mm      96.692454*mm      26.018024*mm      93.518849*mm      35.785375*mm      74.821617*mm      28.608180*mm      77.347426*mm      20.834539*mm      96.692454*mm      26.018024*mm      93.518849*mm      35.785375*mm      74.821617*mm      28.608180*mm  | 1 2 9 4
sector1_superlayer2_layer10_paddle1 | root|   0.0000*mm   0.0000*mm 126.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      80.000000*mm      -4.086845*mm     100.000000*mm      -5.135000*mm     100.000000*mm       5.135000*mm      80.000000*mm       4.086845*mm      80.000000*mm      -4.086845*mm     100.000000*mm      -5.135000*mm     100.000000*mm       5.135000*mm      80.000000*mm       4.086845*mm  | 1 2 10 1
sector1_superlayer2_layer10_paddle2 | root|   0.0000*mm   0.0000*mm 126.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      79.988943*mm       4.297820*mm      99.988943*mm       5.345976*mm      98.915436*mm      15.559716*mm      79.134560*mm      12.426734*mm      79.988943*mm       4.297820*mm      99.988943*mm       5.345976*mm      98.915436*mm      15.559716*mm      79.134560*mm      12.426734*mm  | 1 2 10 2
sector1_superlayer2_layer10_paddle3 | root|   0.0000*mm   0.0000*mm 126.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      79.101511*mm      12.635398*mm      98.882387*mm      15.768381*mm      96.747134*mm      25.813957*mm      77.402105*mm      20.630473*mm      79.101511*mm      12.635398*mm      98.882387*mm      15.768381*mm      96.747134*mm      25.813957*mm      77.402105*mm      20.630473*mm  | 1 2 10 3
sector1_superlayer2_layer10_paddle4 | root|   0.0000*mm   0.0000*mm 126.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      77.347426*mm      20.834539*mm      96.692454*mm      26.018024*mm      93.518849*mm      35.785375*mm      74.821617*mm      28.608180*mm      77.347426*mm      20.834539*mm      96.692454*mm      26.018024*mm      93.518849*mm      35.785375*mm      74.821617*mm      28.608180*mm  | 1 2 10 4
sector2_superlayer1_layer1_paddle5 | root|   0.0000*mm   0.0000*mm   0.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 139.8500*mm      71.941321*mm      27.728835*mm      74.745906*mm      28.805413*mm      71.421367*mm      36.272450*mm      68.744680*mm      34.908608*mm      71.941321*mm      27.728835*mm      74.745906*mm      28.805413*mm      71.421367*mm      36.272450*mm      68.744680*mm      34.908608*mm  | 2 1 1 5
sector2_superlayer1_layer1_paddle6 | root|   0.0000*mm   0.0000*mm   0.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 139.8500*mm      68.648766*mm      35.096849*mm      71.325455*mm      36.460688*mm      67.238610*mm      43.539312*mm      64.719146*mm      41.903151*mm      68.648766*mm      35.096849*mm      71.325455*mm      36.460688*mm      67.238610*mm      43.539312*mm      64.719146*mm      41.903151*mm  | 2 1 1 6
