det1_beamline_magnet_ele_downstream_dipole4_inner  |det1_beamline_magnet_ele_downstream_dipole4_outer  |det1_beamline_magnet_ele_downstream_dipole4_inner  |                                       0*m 0*m 0*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                             4*cm 4*cm 1.5*m  |              Vacuum  |det1_ele_downstream_dipole4_simple  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
det1_beamline_magnet_ele_downstream_dipole1_front  |det1_beamline_magnet_ele_downstream_dipole1_inner  |det1_beamline_magnet_ele_downstream_dipole1_front  |                            0*m 0*m 1.4999999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                           4*cm 4*cm 1e-10*m  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22111 
det1_beamline_magnet_ele_downstream_dipole2_front  |det1_beamline_magnet_ele_downstream_dipole2_inner  |det1_beamline_magnet_ele_downstream_dipole2_front  |                            0*m 0*m 1.4999999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                           4*cm 4*cm 1e-10*m  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22121 
det1_beamline_magnet_ele_downstream_dipole2a_front  |det1_beamline_magnet_ele_downstream_dipole2a_inner  |det1_beamline_magnet_ele_downstream_dipole2a_front  |                            0*m 0*m 0.2499999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                           4*cm 4*cm 1e-10*m  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22131 
det1_beamline_magnet_ele_downstream_dipole3a_front  |det1_beamline_magnet_ele_downstream_dipole3a_inner  |det1_beamline_magnet_ele_downstream_dipole3a_front  |                            0*m 0*m 0.2499999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                           4*cm 4*cm 1e-10*m  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22141 
det1_beamline_magnet_ele_downstream_dipole3_front  |det1_beamline_magnet_ele_downstream_dipole3_inner  |det1_beamline_magnet_ele_downstream_dipole3_front  |                            0*m 0*m 1.4999999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                           4*cm 4*cm 1e-10*m  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22151 
det1_beamline_magnet_ele_downstream_dipole4_front  |det1_beamline_magnet_ele_downstream_dipole4_inner  |det1_beamline_magnet_ele_downstream_dipole4_front  |                            0*m 0*m 1.4999999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                           4*cm 4*cm 1e-10*m  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22161 
det1_beamline_magnet_ele_downstream_dipole1_back  |det1_beamline_magnet_ele_downstream_dipole1_inner  |det1_beamline_magnet_ele_downstream_dipole1_back  |                           0*m 0*m -1.4999999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                           4*cm 4*cm 1e-10*m  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22112 
det1_beamline_magnet_ele_downstream_dipole2_back  |det1_beamline_magnet_ele_downstream_dipole2_inner  |det1_beamline_magnet_ele_downstream_dipole2_back  |                           0*m 0*m -1.4999999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                           4*cm 4*cm 1e-10*m  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22122 
det1_beamline_magnet_ele_downstream_dipole2a_back  |det1_beamline_magnet_ele_downstream_dipole2a_inner  |det1_beamline_magnet_ele_downstream_dipole2a_back  |                           0*m 0*m -0.2499999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                           4*cm 4*cm 1e-10*m  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22132 
det1_beamline_magnet_ele_downstream_dipole3a_back  |det1_beamline_magnet_ele_downstream_dipole3a_inner  |det1_beamline_magnet_ele_downstream_dipole3a_back  |                           0*m 0*m -0.2499999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                           4*cm 4*cm 1e-10*m  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22142 
det1_beamline_magnet_ele_downstream_dipole3_back  |det1_beamline_magnet_ele_downstream_dipole3_inner  |det1_beamline_magnet_ele_downstream_dipole3_back  |                           0*m 0*m -1.4999999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                           4*cm 4*cm 1e-10*m  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22152 
det1_beamline_magnet_ele_downstream_dipole4_back  |det1_beamline_magnet_ele_downstream_dipole4_inner  |det1_beamline_magnet_ele_downstream_dipole4_back  |                           0*m 0*m -1.4999999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                           4*cm 4*cm 1e-10*m  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22162 
det1_beamline_magnet_ele_downstream_dipole1_side  |det1_beamline_magnet_ele_downstream_dipole1_outer  |det1_beamline_magnet_ele_downstream_dipole1_side  |                                 -7.5*cm 0*cm 0*cm  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                           3.5*cm 4*cm 1.5*m  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22113 
det1_beamline_magnet_ele_upstream_quadrupole1_outer  |                root  |det1_beamline_magnet_ele_upstream_quadrupole1_outer  |                                    0*m 0*m 2.75*m  |                      0*rad -0*rad 0*rad  | aa00ff   |                Tube  |                              0*cm 7*cm 0.35*m 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
det1_beamline_magnet_ele_upstream_quadrupole2_outer  |                root  |det1_beamline_magnet_ele_upstream_quadrupole2_outer  |                                    0*m 0*m 3.55*m  |                      0*rad -0*rad 0*rad  | aa00ff   |                Tube  |                             0*cm 10*cm 0.35*m 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
det1_beamline_magnet_ele_upstream_quadrupole3_outer  |                root  |det1_beamline_magnet_ele_upstream_quadrupole3_outer  |                                    0*m 0*m 4.65*m  |                      0*rad -0*rad 0*rad  | aa00ff   |                Tube  |                             0*cm 10*cm 0.25*m 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
