     pmtshield_107 L  |                band  |       Mu metal shield for pmt  |                      -1138.74*mm 457.86*mm 655*mm  |                      0*deg 90*deg 0*deg  | 111111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |             conetic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     pmtshield_107 R  |                band  |       Mu metal shield for pmt  |                       1138.74*mm 457.86*mm 655*mm  |                      0*deg 90*deg 0*deg  | 771111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |             conetic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    scintillator_108  |                band  |                  Scintillator  |                             0*mm 384.17*mm 655*mm  |                       0*deg 0*deg 0*deg  | 007fff   |                 Box  |                                       1009.5*mm 36*mm 36*mm  |               ej200  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     pmtshield_108 L  |                band  |       Mu metal shield for pmt  |                      -1138.74*mm 384.17*mm 655*mm  |                      0*deg 90*deg 0*deg  | 111111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |             conetic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     pmtshield_108 R  |                band  |       Mu metal shield for pmt  |                       1138.74*mm 384.17*mm 655*mm  |                      0*deg 90*deg 0*deg  | 771111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |             conetic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    scintillator_109  |                band  |                  Scintillator  |                             0*mm 310.48*mm 655*mm  |                       0*deg 0*deg 0*deg  | 007fff   |                 Box  |                                       1009.5*mm 36*mm 36*mm  |               ej200  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     pmtshield_109 L  |                band  |       Mu metal shield for pmt  |                      -1138.74*mm 310.48*mm 655*mm  |                      0*deg 90*deg 0*deg  | 111111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |             conetic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     pmtshield_109 R  |                band  |       Mu metal shield for pmt  |                       1138.74*mm 310.48*mm 655*mm  |                      0*deg 90*deg 0*deg  | 771111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |             conetic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    scintillator_110  |                band  |                  Scintillator  |                             0*mm 236.79*mm 655*mm  |                       0*deg 0*deg 0*deg  | 007fff   |                 Box  |                                       1009.5*mm 36*mm 36*mm  |               ej200  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     pmtshield_110 L  |                band  |       Mu metal shield for pmt  |                      -1138.74*mm 236.79*mm 655*mm  |                      0*deg 90*deg 0*deg  | 111111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |             conetic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     pmtshield_110 R  |                band  |       Mu metal shield for pmt  |                       1138.74*mm 236.79*mm 655*mm  |                      0*deg 90*deg 0*deg  | 771111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |             conetic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  scintillator_111 B  |                band  |                    Short Bars  |                          753.5*mm 163.1*mm 655*mm  |                       0*deg 0*deg 0*deg  | 4cbb17   |                 Box  |                                          255*mm 36*mm 36*mm  |               ej200  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  scintillator_111 A  |                band  |                    Short Bars  |                         -753.5*mm 163.1*mm 655*mm  |                       0*deg 0*deg 0*deg  | 32cd32   |                 Box  |                                          255*mm 36*mm 36*mm  |               ej200  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  pmtshield_111 Lout  |                band  |       Mu metal shield for pmt  |                       -1138.74*mm 163.1*mm 655*mm  |                      0*deg 90*deg 0*deg  | 111111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |             conetic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
